time,type,value
470.55003547668457,4,1
471.0866093635559,2,1
473.03836727142334,4,1
474.0608642101288,4,2
474.3163003921509,4,1
475.33817648887634,4,2
475.5935916900635,4,1
476.4297845363617,2,1
477.6414806842804,4,1
478.66290760040283,4,2
478.91828441619873,4,1
479.9398992061615,4,2
480.1952600479126,4,1
480.7000501155853,2,1
487.32329630851746,4,1
488.3449513912201,4,2
488.6004388332367,4,1
489.621865272522,4,2
489.87725353240967,4,1
490.89868807792664,4,2
491.1541922092438,4,1
491.70256757736206,2,1
508.85327982902527,4,1
509.87498569488525,4,2
510.1303639411926,4,1
510.6305949687958,2,1
517.6905763149261,4,1
518.0332825183868,2,1
530.3387832641602,4,1
531.3599164485931,4,2
531.6169505119324,4,1
532.63813996315,4,2
532.89342045784,4,1
533.9146263599396,4,2
534.1699426174164,4,1
535.1911280155182,4,2
535.201696395874,2,1
535.2020118236542,2,1
535.5900213718414,4,1
535.8901116847992,2,1
546.3340833187103,4,1
547.0936965942383,2,1
578.4402575492859,4,1
579.4617772102356,4,2
579.7173528671265,4,1
580.7188963890076,2,1
596.7296595573425,4,1
596.9823136329651,2,1
616.3283846378326,4,1
616.5779001712799,2,1
636.0540072917938,4,1
637.0760107040405,4,2
637.0819692611694,2,1
638.0536072254181,4,1
639.0749959945679,4,2
639.3304686546326,4,1
640.3515517711639,4,2
640.6068441867828,4,1
641.6280179023743,4,2
641.8833067417145,4,1
642.4428610801697,2,1
654.1329967975616,4,1
655.1542551517487,4,2
655.4096057415009,4,1
656.4307613372803,4,2
656.4755084514618,2,1
656.7579338550568,2,1
4391.130683898926,4,1
4391.722194194794,2,1
4397.612718582153,4,1
4398.634416818619,4,2
4398.889847278595,4,1
4399.9112248420715,4,2
4400.1665823459625,4,1
4401.181793451309,2,1
4403.291731119156,4,1
4403.521964073181,2,1
4404.417530059814,4,1
4405.4388835430145,4,2
4405.694221735001,4,1
4406.462408781052,2,1
4417.105999708176,4,1
4417.450834989548,2,1
4418.145844221115,4,1
4419.170064210892,4,2
4419.425656318665,4,1
4420.448228597641,4,2
4420.514240503311,2,1
4420.776599645615,2,1
5176.783819913864,4,1
5177.062581777573,2,1
5212.513449430466,4,1
5213.536866903305,4,2
5213.792268514633,4,1
5214.813775062561,4,2
5215.069234609604,4,1
5216.0907299518585,4,2
5216.2259566783905,2,1
5229.66544508934,3,circ
