All stim.
[996, 997, 998, 999, 1000]
Reward stim.
[996, 997, 998]
time,whichstim,iftouch,ifreward,ifout
0.011390447616577148,1000,0,0,0
0.020617008209228516,1000,0,0,0
0.0367281436920166,1000,0,0,0
0.0518953800201416,1000,0,0,0
0.06815886497497559,1000,0,0,0
0.08403539657592773,1000,0,0,0
0.09984683990478516,1000,0,0,0
0.11673164367675781,1000,0,0,0
0.1335129737854004,1000,0,0,0
0.1491382122039795,1000,0,0,0
0.164780855178833,1000,0,0,0
0.18138551712036133,1000,0,0,0
0.1972370147705078,1000,0,0,0
0.21690726280212402,1000,0,0,0
0.23315095901489258,1000,0,0,0
0.24910306930541992,1000,0,0,0
0.26580357551574707,1000,0,0,0
0.2822122573852539,1000,0,0,0
0.298755407333374,1000,0,0,0
0.3155696392059326,1000,0,0,0
0.3317384719848633,1000,0,0,0
0.34851598739624023,1000,0,0,0
0.3643019199371338,1000,0,0,0
0.3807191848754883,1000,0,0,0
0.3975389003753662,1000,0,0,0
0.4136350154876709,1000,0,0,0
0.42948436737060547,1000,0,0,0
0.4454319477081299,1000,0,0,0
0.4615473747253418,1000,0,0,0
0.47741222381591797,1000,0,0,0
0.4932870864868164,1000,0,0,0
0.5091390609741211,1000,0,0,0
0.5249710083007812,1000,0,0,0
0.5410683155059814,1000,0,0,0
0.5576028823852539,1000,0,0,0
0.5734949111938477,1000,0,0,0
0.5893077850341797,1000,0,0,0
0.6052343845367432,1000,0,0,0
0.621483325958252,1000,0,0,0
0.6373438835144043,1000,0,0,0
0.6532285213470459,1000,0,0,0
0.6690695285797119,1000,0,0,0
0.6851089000701904,1000,0,0,0
0.7013483047485352,1000,0,0,0
0.7173745632171631,1000,0,0,0
0.7333531379699707,1000,0,0,0
0.7492456436157227,1000,0,0,0
0.7653965950012207,1000,0,0,0
0.781754732131958,1000,0,0,0
0.7986488342285156,1000,0,0,0
0.8145983219146729,1000,0,0,0
0.83030104637146,1000,0,0,0
0.8462085723876953,1000,0,0,0
0.8619599342346191,1000,0,0,0
0.8787868022918701,1000,0,0,0
0.8950064182281494,1000,0,0,0
0.9113032817840576,1000,0,0,0
0.9284324645996094,1000,0,0,0
0.9439601898193359,1000,0,0,0
0.9600307941436768,1000,0,0,0
0.9768929481506348,1000,0,0,0
0.9937896728515625,1000,0,0,0
1.026259422302246,998,0,0,0
1.040187120437622,998,0,0,0
1.0564038753509521,998,0,0,0
1.0722382068634033,998,0,0,0
1.0884900093078613,998,0,0,0
1.104438066482544,998,0,0,0
1.120354413986206,998,0,0,0
1.1365089416503906,998,0,0,0
1.151794672012329,998,0,0,0
1.168421745300293,998,0,0,0
1.184462308883667,998,0,0,0
1.2001957893371582,998,0,0,0
1.2166523933410645,998,0,0,0
1.2318804264068604,998,0,0,0
1.2486472129821777,998,0,0,0
1.264582872390747,998,0,0,0
1.280268907546997,998,0,0,0
1.2963144779205322,998,0,0,0
1.3125097751617432,998,0,0,0
1.3283751010894775,998,0,0,0
1.3442740440368652,998,0,0,0
1.3598644733428955,998,0,0,0
1.3760101795196533,998,0,0,0
1.3921985626220703,998,0,0,0
1.4080781936645508,998,0,0,0
1.4240326881408691,998,0,0,0
1.4406623840332031,998,0,0,0
1.4558286666870117,998,0,0,0
1.472041368484497,998,0,0,0
1.4879026412963867,998,0,0,0
1.5039269924163818,998,0,0,0
1.5207116603851318,998,0,0,0
1.5368874073028564,998,0,0,0
1.5531425476074219,998,0,0,0
1.5692565441131592,998,0,0,0
1.585249900817871,998,0,0,0
1.6007719039916992,998,0,0,0
1.6177325248718262,998,0,0,0
1.6338856220245361,998,0,0,0
1.6498808860778809,998,0,0,0
1.6659858226776123,998,0,0,0
1.6825239658355713,998,0,0,0
1.698697805404663,998,0,0,0
1.7139501571655273,998,0,0,0
1.7298054695129395,998,0,0,0
1.7460064888000488,998,0,0,0
1.7626121044158936,998,0,0,0
1.7788398265838623,998,0,0,0
1.7954869270324707,998,0,0,0
1.811758279800415,998,0,0,0
1.8308453559875488,998,0,0,0
1.8472845554351807,998,0,0,0
1.8632347583770752,998,0,0,0
1.8788785934448242,998,0,0,0
1.8957130908966064,998,0,0,0
1.911864995956421,998,0,0,0
1.9291057586669922,998,0,0,0
1.9448299407958984,998,0,0,0
1.9609272480010986,998,0,0,0
1.9772253036499023,998,0,0,0
1.9931118488311768,998,0,0,0
2.0090057849884033,998,0,0,0
2.033529043197632,996,0,0,0
2.0422706604003906,996,0,0,0
2.0583336353302,996,0,0,0
2.0739004611968994,996,0,0,0
2.0898690223693848,996,0,0,0
2.1060166358947754,996,0,0,0
2.12203049659729,996,0,0,0
2.1382763385772705,996,0,0,0
2.153376817703247,996,0,0,0
2.1694841384887695,996,0,0,0
2.1860907077789307,996,0,0,0
2.201547384262085,996,0,0,0
2.2176907062530518,996,0,0,0
2.2343873977661133,996,0,0,0
2.2503015995025635,996,0,0,0
2.2657721042633057,996,0,0,0
2.282576322555542,996,0,0,0
2.29866886138916,996,0,0,0
2.3145132064819336,996,0,0,0
2.3302886486053467,996,0,0,0
2.345743417739868,996,0,0,0
2.3627469539642334,996,0,0,0
2.3796873092651367,996,0,0,0
2.3962061405181885,996,0,0,0
2.412489414215088,996,0,0,0
2.4287025928497314,996,0,0,0
2.445176839828491,996,0,0,0
2.461254358291626,996,0,0,0
2.4768571853637695,996,0,0,0
2.493006467819214,996,0,0,0
2.5092177391052246,996,0,0,0
2.5250167846679688,996,0,0,0
2.5411736965179443,996,0,0,0
2.5570130348205566,996,0,0,0
2.5731332302093506,996,0,0,0
2.5895981788635254,996,0,0,0
2.605001211166382,996,0,0,0
2.6208810806274414,996,0,0,0
