time,type,value
33.20027017593384,4,1
33.962737798690796,2,1
47.367639780044556,4,1
48.38960790634155,4,2
48.64521837234497,4,1
49.667099475860596,4,2
49.71855401992798,2,1
49.73578977584839,2,1
49.73745322227478,2,1
49.73780632019043,2,1
49.73787260055542,2,1
49.73797249794006,2,1
49.738110303878784,2,1
49.73817777633667,2,1
49.73824143409729,2,1
49.738828897476196,2,1
49.739086866378784,2,1
49.99178338050842,2,1
98.18717336654663,4,1
99.20826506614685,4,2
99.46361708641052,4,1
100.4851815700531,4,2
100.74055933952332,4,1
101.76232647895813,4,2
102.01776623725891,4,1
103.03950929641724,4,2
103.2950394153595,4,1
104.31689310073853,4,2
104.57301235198975,3,circ
