
1550857892.066677,4,1
1550857893.0883918,4,2
1550857893.3436952,4,1
1550857894.120421,2,1
1550857894.1208081,2,1
1550857901.1480067,4,1
1550857902.1695218,4,2
1550857902.4248178,4,1
1550857903.2728698,2,1
1550857949.4610262,4,1
1550857950.2044823,2,1
1550857958.6979237,4,1
1550857959.4011161,2,1
1550857967.1268697,4,1
1550857967.7694592,2,1
1550857967.775065,2,1
1550858009.366612,4,1
1550858010.3886073,4,2
1550858010.643989,4,1
1550858011.4651244,2,1
1550858011.465262,2,1
1550858035.0398166,4,1
1550858036.0614011,4,2
1550858036.317004,4,1
1550858036.7836561,2,1
1550858045.0126383,4,1
1550858045.9933434,2,1
1550858052.7437062,4,1
1550858053.765577,4,2
1550858053.7992587,2,1
1550858053.7993555,2,1
1550858057.0529835,4,1
1550858058.0756056,4,2
1550858058.3313282,4,1
1550858059.3527699,4,2
1550858059.6080422,4,1
1550858059.9146905,2,1
1550858059.915198,2,1
1550858063.6532767,4,1
1550858064.560862,2,1
1550858067.9285288,4,1
1550858068.671321,2,1
1550858068.6714582,2,1
1550858074.8522444,4,1
1550858075.5992773,2,1
1550858078.3732097,4,1
1550858079.1820288,2,1
1550858085.5838487,4,1
1550858086.2798812,2,1
1550858089.1776803,4,1
1550858090.094708,2,1
1550858090.0948446,2,1
1550858100.1151962,4,1
1550858101.037884,2,1
1550858109.650314,4,1
1550858110.6722026,4,2
1550858110.927718,4,1
1550858111.3522863,2,1
1550858121.7187319,4,1
1550858122.7418144,4,2
1550858122.9975486,4,1
1550858123.6092114,2,1
1550858132.7337303,4,1
1550858133.7557328,4,2
1550858134.0114677,4,1
1550858134.7463813,2,1
1550858134.7473772,2,1
1550858134.7474546,2,1
1550858155.043412,4,1
1550858156.0649698,4,2
1550858156.3204186,4,1
1550858156.3691962,2,1
1550858160.092971,4,1
1550858160.9388874,2,1
1550858212.756075,4,1
1550858213.654632,2,1
1550858223.8059685,4,1
1550858224.8276534,4,2
1550858225.0831423,4,1
1550858225.5319924,2,1
1550858225.5330317,2,1
1550858233.3623986,4,1
1550858234.385203,4,2
1550858234.6410782,4,1
1550858235.0661228,2,1
1550858238.8413641,4,1
1550858239.6141174,2,1
1550858248.0577283,4,1
1550858248.6923232,2,1
1550858252.5550404,4,1
1550858253.1707673,2,1
1550858259.5061579,4,1
1550858260.5275984,4,2
1550858260.7830935,4,1
1550858261.0563564,2,1
1550858261.0564885,2,1
1550858269.5208473,4,1
1550858270.2709894,2,1
1550858275.4837763,4,1
1550858276.151172,2,1
1550858276.151304,2,1
1550858280.836501,4,1
1550858281.8589716,4,2
1550858282.1145587,4,1
1550858282.4318705,2,1
1550858282.4320135,2,1
1550858287.0194123,4,1
1550858288.0413365,4,2
1550858288.2968938,4,1
1550858288.3584924,2,1
1550858288.3587751,2,1
1550858291.4886615,4,1
1550858292.3991623,2,1
1550858296.5817378,4,1
1550858297.2004838,2,1
1550858300.1814504,4,1
1550858300.92786,2,1
1550858305.178548,4,1
1550858305.8402102,2,1
1550858314.3627303,4,1
1550858315.3855557,4,2
1550858315.64122,4,1
1550858316.0032604,2,1
1550858332.1344275,4,1
1550858332.9589124,2,1
1550858337.0984569,4,1
1550858337.85371,2,1
1550858337.859645,2,1
1550858341.850991,4,1
1550858342.7270055,2,1
1550858355.2246032,4,1
1550858355.913516,2,1
1550858390.1222343,4,1
1550858390.754962,2,1
1550858390.7612493,2,1
1550858409.0269742,4,1
1550858409.7100837,2,1
1550858415.84068,4,1
1550858416.442396,2,1
1550858416.4425325,2,1
1550858416.4471126,2,1
1550858421.780482,4,1
1550858422.4042175,2,1
1550858422.4094474,2,1
1550858426.465753,4,1
1550858427.2219563,2,1
1550858427.2225282,2,1
1550858433.1868546,4,1
1550858433.9535186,2,1
1550858445.7503643,4,1
1550858446.7732525,4,2
1550858447.0288386,4,1
1550858448.0504577,4,2
1550858448.3058538,4,1
1550858449.1142182,2,1
1550858452.430475,4,1
1550858453.3281078,2,1
1550858453.3345377,2,1
1550858463.7132924,4,1
1550858464.3797684,2,1
1550858468.4313698,4,1
1550858469.0906541,2,1
1550858482.1902678,4,1
1550858482.867946,2,1
1550858492.0681124,4,1
1550858492.7641218,2,1
1550858496.1211483,4,1
1550858496.8836238,2,1
1550858501.8728125,4,1
1550858502.5584323,2,1
1550858507.0075648,4,1
1550858507.756069,2,1
1550858512.1789153,4,1
