All stim.
[957, 958, 959, 960, 961, 962, 963, 964]
Reward stim.
[957, 959, 961, 963]
time,whichstim,iftouch,ifreward,ifout
1551654596.379976,962,1,0,0
1551654596.3960924,962,1,0,0
1551654596.412276,962,1,0,0
1551654596.427452,962,1,0,0
1551654596.4435563,962,1,0,0
1551654596.4601326,962,1,0,0
1551654596.4758823,962,1,0,0
1551654596.4935868,962,1,0,0
1551654596.5101361,962,1,0,0
1551654596.5256135,962,1,0,0
1551654596.5421538,962,1,0,0
1551654596.5576696,962,1,0,0
1551654596.5741994,962,1,0,0
1551654596.5897045,962,1,0,0
1551654596.605425,962,1,0,0
1551654596.6219087,962,1,0,0
1551654596.6383543,962,1,0,0
1551654596.6560268,962,1,0,0
1551654596.6715477,962,1,0,0
1551654596.6880047,962,1,0,0
1551654596.7039523,962,1,0,0
1551654596.7195215,962,1,0,0
1551654596.7360055,962,1,0,0
1551654596.751657,962,1,0,0
1551654596.7682655,962,1,0,0
1551654596.7840886,962,1,0,0
1551654596.7999642,962,1,0,0
1551654596.8154564,962,1,0,0
1551654596.8319747,962,1,0,0
1551654596.8480816,962,1,0,0
1551654596.8636842,962,1,0,0
1551654596.880201,962,1,0,0
1551654596.8962739,962,1,0,0
1551654596.9119415,962,1,0,0
1551654596.928146,962,1,0,0
1551654596.9437342,962,1,0,0
1551654596.9594584,962,1,0,0
1551654596.9760282,962,1,0,0
1551654596.9931011,962,1,0,0
1551654597.0078309,962,1,0,0
1551654597.0234241,962,1,0,0
1551654597.0399075,962,1,0,0
1551654597.055561,962,1,0,0
1551654597.0720851,962,1,0,0
1551654597.087581,962,1,0,0
1551654597.1035912,962,1,0,0
1551654597.1195354,962,1,0,0
1551654597.1360261,962,1,0,0
1551654597.1520061,962,1,0,0
1551654597.1674635,962,1,0,0
1551654597.1840885,962,1,0,0
1551654597.1996043,962,1,0,0
1551654597.2162774,962,1,0,0
1551654597.231793,962,1,0,0
1551654597.248253,962,1,0,0
1551654597.2640188,962,1,0,0
1551654597.279511,962,1,0,0
1551654597.2960088,962,1,0,0
1551654597.3116696,962,1,0,0
1551654597.3283417,962,1,0,0
1551654597.3448877,962,1,0,0
1551654597.360687,962,1,0,0
1551654597.3771455,962,1,0,0
1551654597.3928266,962,1,0,0
1551654597.408699,962,1,0,0
1551654597.4252713,962,1,0,0
1551654597.4407923,962,1,0,0
1551654597.4567409,962,1,0,0
1551654597.473192,962,1,0,0
1551654597.4891162,962,1,0,0
1551654597.5045602,962,1,0,0
1551654597.5210943,962,1,0,0
1551654597.5365183,962,1,0,0
1551654597.5530038,962,1,0,0
1551654597.5686798,962,1,0,0
1551654597.584536,962,1,0,0
1551654597.6010323,962,1,0,0
1551654597.6165915,962,1,0,0
1551654597.6330848,962,1,0,0
1551654597.6495483,962,1,0,0
1551654597.6659732,962,1,0,0
1551654597.6814027,962,1,0,0
1551654597.6978524,962,1,0,0
1551654597.7143211,962,1,0,0
1551654597.7307918,962,1,0,0
1551654597.7471714,962,1,0,0
1551654597.763198,962,1,0,0
1551654597.7786262,962,1,0,0
1551654597.7950947,962,1,0,0
1551654597.8105774,962,1,0,0
1551654597.8270445,962,1,0,0
1551654597.8425815,962,1,0,0
1551654597.859036,962,1,0,0
1551654597.8745103,962,1,0,0
1551654597.890969,962,1,0,0
1551654597.9073684,962,1,0,0
1551654597.923848,962,1,0,0
1551654597.9394171,962,1,0,0
1551654597.9558663,962,1,0,0
1551654597.9722548,962,1,0,0
1551654597.987833,962,1,0,0
1551654598.0026991,962,1,0,0
1551654598.0185351,962,1,0,0
1551654598.0350795,962,1,0,0
1551654598.0504913,962,1,0,0
1551654598.0669966,962,1,0,0
1551654598.0833905,962,1,0,0
1551654598.0999148,962,1,0,0
1551654598.1154764,962,1,0,0
1551654598.1319544,962,1,0,0
1551654599.4276638,962,0,1,0
1551654599.4278195,0,0,0,0
1551654599.459897,0,0,0,0
1551654599.4764786,0,0,0,0
1551654599.4936624,0,0,0,0
1551654599.5095658,0,0,0,0
1551654599.5257483,0,0,0,0
1551654599.5419683,0,0,0,0
1551654599.5579445,0,0,0,0
1551654599.573918,0,0,0,0
1551654599.58995,0,0,0,0
1551654599.605893,0,0,0,0
1551654599.621854,0,0,0,0
1551654599.6379445,0,0,0,0
1551654599.6548834,0,0,0,0
1551654599.6708581,0,0,0,0
1551654599.6869364,0,0,0,0
1551654599.7028272,0,0,0,0
1551654599.7187037,0,0,0,0
1551654599.734818,0,0,0,0
1551654599.750868,0,0,0,0
1551654599.7667859,0,0,0,0
1551654599.782687,0,0,0,0
1551654599.7987165,0,0,0,0
1551654599.8146117,0,0,0,0
1551654599.830715,0,0,0,0
1551654599.8468707,0,0,0,0
1551654599.862763,0,0,0,0
1551654599.878633,0,0,0,0
1551654599.8946857,0,0,0,0
1551654599.9105453,0,0,0,0
1551654599.9264503,0,0,0,0
1551654599.9425087,0,0,0,0
1551654599.9584439,0,0,0,0
1551654599.9743817,0,0,0,0
1551654599.9925382,0,0,0,0
1551654600.0084226,0,0,0,0
1551654600.0253048,0,0,0,0
1551654600.041608,0,0,0,0
1551654600.057575,0,0,0,0
1551654600.0734868,0,0,0,0
1551654600.0893896,0,0,0,0
1551654600.10557,0,0,0,0
1551654600.121494,0,0,0,0
1551654600.137618,0,0,0,0
1551654600.1537783,0,0,0,0
1551654600.1696765,0,0,0,0
1551654600.1855514,0,0,0,0
1551654600.2017198,0,0,0,0
1551654600.2176974,0,0,0,0
1551654600.23365,0,0,0,0
1551654600.2496314,0,0,0,0
1551654600.2655456,0,0,0,0
1551654600.2815278,0,0,0,0
1551654600.2974522,0,0,0,0
1551654600.313368,0,0,0,0
1551654600.3302038,0,0,0,0
1551654600.3464606,0,0,0,0
1551654600.363353,0,0,0,0
1551654600.3802361,0,0,0,0
1551654600.396206,0,0,0,0
1551654600.4121294,0,0,0,0
1551654600.4280412,0,0,0,0
1551654600.4441843,0,0,0,0
1551654600.460109,0,0,0,0
1551654600.4760818,0,0,0,0
1551654600.492975,0,0,0,0
