time,whichstim,iftouch,ifout
0.017793893814086914,4,0,0
0.038234710693359375,4,0,0
0.07643842697143555,4,0,0
0.11573553085327148,4,0,0
0.14934206008911133,4,0,0
0.17262601852416992,4,0,0
0.19710469245910645,4,0,0
0.21834540367126465,4,0,0
0.23944854736328125,4,0,0
0.2604672908782959,4,0,0
0.2817649841308594,4,0,0
0.3034079074859619,4,0,0
0.32977771759033203,4,0,0
0.35111451148986816,4,0,0
0.37239527702331543,4,0,0
0.3934650421142578,4,0,0
0.4148540496826172,4,0,0
0.43646955490112305,4,0,0
0.45781373977661133,4,0,0
0.47882866859436035,4,0,0
0.5001957416534424,4,0,0
0.5216460227966309,4,0,0
0.5432150363922119,4,0,0
0.564399242401123,4,0,0
0.5853748321533203,4,0,0
0.6064014434814453,4,0,0
0.6279342174530029,4,0,0
0.6498146057128906,4,0,0
0.6710765361785889,4,0,0
0.6921885013580322,4,0,0
0.7132120132446289,4,0,0
0.7345786094665527,4,0,0
0.7563133239746094,4,0,0
0.7775676250457764,4,0,0
0.7987635135650635,4,0,0
0.8198559284210205,4,0,0
0.8412356376647949,4,0,0
0.862926721572876,4,0,0
0.8840811252593994,4,0,0
0.9050779342651367,4,0,0
0.9260127544403076,4,0,0
0.947519063949585,4,0,0
0.9700090885162354,4,0,0
0.9912452697753906,4,0,0
1.029895544052124,5,0,0
1.0504703521728516,5,0,0
1.071976661682129,5,0,0
1.0933003425598145,5,0,0
1.1150214672088623,5,0,0
1.1366627216339111,5,0,0
1.1620478630065918,5,0,0
1.1834394931793213,5,0,0
1.2047009468078613,5,0,0
1.2258095741271973,5,0,0
1.247305154800415,5,0,0
1.270261287689209,5,0,0
1.2914254665374756,5,0,0
1.3124797344207764,5,0,0
1.3335461616516113,5,0,0
1.3550400733947754,5,0,0
1.3766796588897705,5,0,0
1.3979206085205078,5,0,0
1.4189379215240479,5,0,0
1.4398715496063232,5,0,0
1.461193561553955,5,0,0
1.483889102935791,5,0,0
1.5065703392028809,5,0,0
1.5269885063171387,5,0,0
1.54817795753479,5,0,0
1.5696392059326172,5,0,0
1.591552495956421,5,0,0
1.6126766204833984,5,0,0
1.6336979866027832,5,0,0
1.6547300815582275,5,0,0
1.6760764122009277,5,0,0
1.6975984573364258,5,0,0
1.7188191413879395,5,0,0
1.7399184703826904,5,0,0
1.7610695362091064,5,0,0
1.7825164794921875,5,0,0
1.8053574562072754,5,0,0
1.8264925479888916,5,0,0
1.8476908206939697,5,0,0
1.868901252746582,5,0,0
1.8903224468231201,5,0,0
1.912107229232788,5,0,0
1.9332857131958008,5,0,0
1.9543070793151855,5,0,0
1.9752635955810547,5,0,0
1.9965672492980957,5,0,0
2.0372774600982666,5,0,0
2.0576653480529785,5,0,0
2.0801303386688232,5,0,0
2.101935625076294,5,0,0
2.1263694763183594,5,0,0
2.14796781539917,5,0,0
