time,type,value
4.008369445800781,4,1
5.030045986175537,4,2
5.285484075546265,4,1
6.307128190994263,4,2
6.562530755996704,4,1
7.584270477294922,4,2
7.839738130569458,4,1
8.423153400421143,2,1
8.423298835754395,2,1
20.09871482849121,4,1
21.120746850967407,4,2
21.376328945159912,4,1
21.646488666534424,2,1
30.385945558547974,4,1
31.407220602035522,4,2
31.50005006790161,2,1
31.50963592529297,2,1
31.50995111465454,2,1
40.16252279281616,4,1
40.38631200790405,2,1
85.0219795703888,4,1
85.79935574531555,2,1
85.79977297782898,2,1
85.83755016326904,3,circ
