All stim.
[979, 980, 981, 982, 983, 984, 985, 986]
Reward stim.
[979, 981, 983, 985]
time,whichstim,iftouch,ifreward,ifout
1551213686.6270325,981,0,0,0
1551213686.6436713,981,0,0,0
1551213686.6595223,981,0,0,0
1551213686.6762712,981,0,0,0
1551213686.6927733,981,0,0,0
1551213686.7093978,981,0,0,0
1551213686.7248058,981,0,0,0
1551213686.7419736,981,0,0,0
1551213686.757946,981,0,0,0
1551213686.7739882,981,0,0,0
1551213686.7903492,981,0,0,0
1551213686.8055475,981,0,0,0
1551213686.821668,981,0,0,0
1551213686.8381913,981,0,0,0
1551213686.8540957,981,0,0,0
1551213686.8697586,981,0,0,0
1551213686.886157,981,0,0,0
1551213686.9019933,981,0,0,0
1551213686.9181201,981,0,0,0
1551213686.9338357,981,0,0,0
1551213686.9495437,981,0,0,0
1551213686.9662795,981,0,0,0
1551213686.9819443,981,0,0,0
1551213686.997882,981,0,0,0
1551213687.012681,981,0,0,0
1551213687.0284486,981,0,0,0
1551213687.0452547,981,0,0,0
1551213687.060933,981,0,0,0
1551213687.0766563,981,0,0,0
1551213687.0927365,981,0,0,0
1551213687.109357,981,0,0,0
1551213687.1260805,981,0,0,0
1551213687.142025,981,0,0,0
1551213687.1587968,981,0,0,0
1551213687.174592,981,0,0,0
1551213687.1912732,981,0,0,0
1551213687.2068348,981,0,0,0
1551213687.2232313,981,0,0,0
1551213687.2392552,981,0,0,0
1551213687.2549586,981,0,0,0
1551213687.2704556,981,0,0,0
1551213687.2868469,981,0,0,0
1551213687.303099,981,0,0,0
1551213687.3191826,981,0,0,0
1551213687.334833,981,0,0,0
1551213687.350695,981,0,0,0
1551213687.3669457,981,0,0,0
1551213687.382984,981,0,0,0
1551213687.399194,981,0,0,0
1551213687.415051,981,0,0,0
1551213687.4309826,981,0,0,0
1551213687.446893,981,0,0,0
1551213687.4627237,981,0,0,0
1551213687.4784362,981,0,0,0
1551213687.494707,981,0,0,0
1551213687.5104213,981,0,0,0
1551213687.5264583,981,0,0,0
1551213687.5424905,981,0,0,0
1551213687.5588117,981,0,0,0
1551213687.5744035,981,0,0,0
1551213687.5910103,981,0,0,0
1551213687.606807,981,0,0,0
1551213687.6228912,981,0,0,0
1551213687.63845,981,0,0,0
1551213687.6552474,981,0,0,0
1551213687.6709354,981,0,0,0
1551213687.6866453,981,0,0,0
1551213687.7029886,981,0,0,0
1551213687.7186213,981,0,0,0
1551213687.7345648,981,0,0,0
1551213687.7509131,981,0,0,0
1551213687.7673235,981,0,0,0
1551213687.7839804,981,0,0,0
1551213687.8003142,981,0,0,0
1551213687.818051,981,0,0,0
1551213687.8361673,981,0,0,0
1551213687.8509817,981,0,0,0
1551213687.8670204,981,0,0,0
1551213687.8827915,981,0,0,0
1551213687.89854,981,0,0,0
1551213687.915138,981,0,0,0
1551213687.9309423,981,0,0,0
1551213687.946607,981,0,0,0
1551213687.9626756,981,0,0,0
1551213687.9792888,981,0,0,0
1551213687.996041,981,0,0,0
1551213688.0110593,981,0,0,0
1551213688.02715,981,0,0,0
1551213688.042992,981,0,0,0
1551213688.0586562,981,0,0,0
1551213688.0753388,981,0,0,0
1551213688.0921257,981,0,0,0
1551213688.1269252,984,0,0,0
1551213688.140657,984,0,0,0
1551213688.1581628,984,0,0,0
1551213688.1738138,984,0,0,0
1551213688.1896462,984,0,0,0
1551213688.2060943,984,0,0,0
1551213688.2218688,984,0,0,0
1551213688.2376313,984,0,0,0
1551213688.2535543,984,0,0,0
1551213688.2701535,984,0,0,0
1551213688.2858806,984,0,0,0
1551213688.3016224,984,0,0,0
1551213688.3176596,984,0,0,0
1551213688.3352027,984,0,0,0
1551213688.351315,984,0,0,0
1551213688.3674977,984,0,0,0
1551213688.3834786,984,0,0,0
1551213688.3995519,984,0,0,0
1551213688.415501,984,0,0,0
1551213688.4318163,984,0,0,0
1551213688.4478762,984,0,0,0
1551213688.4638,984,0,0,0
1551213688.4796364,984,0,0,0
1551213688.495534,984,0,0,0
1551213688.5114498,984,0,0,0
1551213688.5283468,984,0,0,0
1551213688.5451996,984,0,0,0
1551213688.561175,984,0,0,0
1551213688.5770628,984,0,0,0
1551213688.5929635,984,0,0,0
1551213688.609114,984,0,0,0
1551213688.6249962,984,0,0,0
1551213688.641037,984,0,0,0
1551213688.6569326,984,0,0,0
1551213688.672702,984,0,0,0
1551213688.689259,984,0,0,0
1551213688.7048802,984,0,0,0
1551213688.7205188,984,0,0,0
1551213688.737083,984,0,0,0
1551213688.7526946,984,0,0,0
1551213688.769258,984,0,0,0
1551213688.7849097,984,0,0,0
1551213688.8005593,984,0,0,0
1551213688.8171623,984,0,0,0
1551213688.8328183,984,0,0,0
1551213688.8484302,984,0,0,0
1551213688.8649914,984,0,0,0
1551213688.8806,984,0,0,0
1551213688.8972192,984,0,0,0
1551213688.9130282,984,0,0,0
1551213688.928542,984,0,0,0
1551213688.9450896,984,0,0,0
1551213688.9606998,984,0,0,0
1551213688.9765348,984,0,0,0
1551213688.9931827,984,0,0,0
1551213689.0079038,984,0,0,0
1551213689.0236468,984,0,0,0
1551213689.0395145,984,0,0,0
1551213689.0562167,984,0,0,0
1551213689.0718408,984,0,0,0
1551213689.0874634,984,0,0,0
1551213689.1040356,984,0,0,0
1551213689.1197922,984,0,0,0
1551213689.135464,984,0,0,0
1551213689.152162,984,0,0,0
1551213689.1677387,984,0,0,0
1551213689.184261,984,0,0,0
1551213689.1998794,984,0,0,0
1551213689.2155366,984,0,0,0
1551213689.2321978,984,0,0,0
1551213689.2478094,984,0,0,0
1551213689.26435,984,0,0,0
1551213689.2804508,984,0,0,0
1551213689.2970865,984,0,0,0
1551213689.3126948,984,0,0,0
1551213689.3291552,984,0,0,0
1551213689.3450859,984,0,0,0
1551213689.3607695,984,0,0,0
1551213689.3764122,984,0,0,0
1551213689.393139,984,0,0,0
1551213689.4087698,984,0,0,0
1551213689.4253585,984,0,0,0
1551213689.4422312,984,0,0,0
1551213689.4579167,984,0,0,0
1551213689.4735115,984,0,0,0
1551213689.490123,984,0,0,0
1551213689.505841,984,0,0,0
1551213689.5217388,984,0,0,0
1551213689.5383632,984,0,0,0
1551213689.5550387,984,0,0,0
1551213689.571089,984,0,0,0
1551213689.5867329,984,0,0,0
1551213689.603302,984,0,0,0
1551213689.6354084,984,0,0,0
1551213689.649089,984,0,0,0
1551213689.6648543,984,0,0,0
1551213689.6812885,984,0,0,0
1551213689.6968412,984,0,0,0
1551213689.7128966,984,0,0,0
1551213689.7287345,984,0,0,0
1551213689.7452457,984,0,0,0
1551213689.7607486,984,0,0,0
1551213689.77729,984,0,0,0
1551213689.7928073,984,0,0,0
1551213689.8093798,984,0,0,0
1551213689.825766,984,0,0,0
1551213689.8421412,984,0,0,0
1551213689.8577275,984,0,0,0
1551213689.8743477,984,0,0,0
1551213689.8907578,984,0,0,0
1551213689.907068,984,0,0,0
1551213689.9228692,984,0,0,0
1551213689.9387248,984,0,0,0
1551213689.955345,984,0,0,0
1551213689.971622,984,0,0,0
1551213689.9880078,984,0,0,0
1551213690.0029411,984,0,0,0
1551213690.0187762,984,0,0,0
1551213690.0353072,984,0,0,0
1551213690.051954,984,0,0,0
1551213690.0676103,984,0,0,0
1551213690.084178,984,0,0,0
1551213690.0998335,984,0,0,0
1551213690.1154923,984,0,0,0
1551213690.1320689,984,0,0,0
1551213690.1477213,984,0,0,0
1551213690.1652887,984,0,0,0
1551213690.1819184,984,0,0,0
1551213690.1975868,984,0,0,0
1551213690.2141907,984,0,0,0
1551213690.2299979,984,0,0,0
1551213690.245645,984,0,0,0
1551213690.2623737,984,0,0,0
1551213690.2789502,984,0,0,0
1551213690.2945046,984,0,0,0
1551213690.3110802,984,0,0,0
1551213690.326684,984,0,0,0
1551213690.3432875,984,0,0,0
1551213690.3598492,984,0,0,0
1551213690.375498,984,0,0,0
1551213690.392128,984,0,0,0
1551213690.4077668,984,0,0,0
1551213690.424326,984,0,0,0
1551213690.4409273,984,0,0,0
1551213690.4566643,984,0,0,0
1551213690.4733043,984,0,0,0
1551213690.48885,984,0,0,0
1551213690.5044253,984,0,0,0
1551213690.521064,984,0,0,0
1551213690.5367174,984,0,0,0
1551213690.553322,984,0,0,0
1551213690.5699177,984,0,0,0
1551213690.585843,984,0,0,0
1551213690.6014276,984,0,0,0
1551213690.618024,984,0,0,0
1551213690.6335814,984,0,0,0
1551213690.649469,984,0,0,0
1551213690.666083,984,0,0,0
1551213690.681701,984,0,0,0
1551213690.698284,984,0,0,0
1551213690.7148435,984,0,0,0
1551213690.7304418,984,0,0,0
1551213690.7471855,984,0,0,0
1551213690.7627814,984,0,0,0
1551213690.7793486,984,0,0,0
1551213690.7959933,984,0,0,0
1551213690.8116772,984,0,0,0
1551213690.8282795,984,0,0,0
1551213690.8440306,984,0,0,0
1551213690.8598807,984,0,0,0
1551213690.875641,984,0,0,0
1551213690.8923101,984,0,0,0
1551213690.90895,984,0,0,0
1551213690.9245408,984,0,0,0
1551213690.9403996,984,0,0,0
1551213690.9570792,984,0,0,0
1551213690.9727051,984,0,0,0
1551213690.9893122,984,0,0,0
1551213691.0050657,984,0,0,0
1551213691.0207043,984,0,0,0
1551213691.0363865,984,0,0,0
1551213691.053059,984,0,0,0
1551213691.068667,984,0,0,0
1551213691.0852711,984,0,0,0
1551213691.1009164,984,0,0,0
1551213691.1166635,984,0,0,0
1551213691.1515536,980,0,0,0
1551213691.165566,980,0,0,0
1551213691.1817172,980,0,0,0
1551213691.1975446,980,0,0,0
1551213691.213809,980,0,0,0
1551213691.2296038,980,0,0,0
1551213691.24584,980,0,0,0
1551213691.261449,980,0,0,0
1551213691.278267,980,0,0,0
1551213691.2943017,980,0,0,0
1551213691.3099217,980,0,0,0
1551213691.3255806,980,0,0,0
1551213691.3415275,980,0,0,0
1551213691.3574615,980,0,0,0
1551213691.3740802,980,0,0,0
1551213691.3897417,980,0,0,0
1551213691.4054246,980,0,0,0
1551213691.422249,980,0,0,0
1551213691.4378371,980,0,0,0
1551213691.4534318,980,0,0,0
1551213691.4700148,980,0,0,0
1551213691.4857004,980,0,0,0
1551213691.5023637,980,0,0,0
1551213691.5189443,980,0,0,0
1551213691.5345755,980,0,0,0
1551213691.5504646,980,0,0,0
1551213691.5670412,980,0,0,0
1551213691.5826595,980,0,0,0
1551213691.599148,980,0,0,0
1551213691.6146517,980,0,0,0
1551213691.6312459,980,0,0,0
1551213691.6468866,980,0,0,0
1551213691.6625202,980,0,0,0
1551213691.679046,980,0,0,0
1551213691.694617,980,0,0,0
1551213691.7112248,980,0,0,0
1551213691.7268584,980,0,0,0
1551213691.7423933,980,0,0,0
1551213691.7589936,980,0,0,0
1551213691.7745814,980,0,0,0
1551213691.791189,980,0,0,0
1551213691.806744,980,0,0,0
1551213691.823296,980,0,0,0
1551213691.8399088,980,0,0,0
1551213691.855801,980,0,0,0
1551213691.8714304,980,0,0,0
1551213691.8880486,980,0,0,0
1551213691.903566,980,0,0,0
1551213691.9200842,980,0,0,0
1551213691.9357467,980,0,0,0
1551213691.9513798,980,0,0,0
1551213691.9680998,980,0,0,0
1551213691.9836166,980,0,0,0
1551213692.000234,980,0,0,0
1551213692.0158532,980,0,0,0
1551213692.0315166,980,0,0,0
1551213692.048195,980,0,0,0
1551213692.0636723,980,0,0,0
1551213692.0802677,980,0,0,0
1551213692.0968838,980,0,0,0
1551213692.112586,980,0,0,0
1551213692.1291137,980,0,0,0
1551213692.1446404,980,0,0,0
1551213692.161493,980,0,0,0
1551213692.1780448,980,0,0,0
1551213692.1935792,980,0,0,0
1551213692.2101529,980,0,0,0
1551213692.2256823,980,0,0,0
1551213692.242352,980,0,0,0
1551213692.2589302,980,0,0,0
1551213692.2744746,980,0,0,0
1551213692.2910209,980,0,0,0
1551213692.3066852,980,0,0,0
1551213692.3232589,980,0,0,0
1551213692.3387976,980,0,0,0
1551213692.354466,980,0,0,0
1551213692.3710353,980,0,0,0
1551213692.386935,980,0,0,0
1551213692.4026234,980,0,0,0
1551213692.4191039,980,0,0,0
1551213692.434788,980,0,0,0
1551213692.4503908,980,0,0,0
1551213692.4669259,980,0,0,0
1551213692.4825587,980,0,0,0
1551213692.499045,980,0,0,0
1551213692.5149996,980,0,0,0
1551213692.5306082,980,0,0,0
1551213692.5472624,980,0,0,0
1551213692.5628166,980,0,0,0
1551213692.57838,980,0,0,0
1551213692.5949345,980,0,0,0
1551213692.6105716,980,0,0,0
1551213692.6271882,980,0,0,0
1551213692.6596885,985,0,0,0
1551213692.6735203,985,0,0,0
1551213692.690073,985,0,0,0
1551213692.7057102,985,0,0,0
1551213692.7222233,985,0,0,0
1551213692.7378395,985,0,0,0
1551213692.753456,985,0,0,0
1551213692.7702825,985,0,0,0
1551213692.7858758,985,0,0,0
1551213692.8014822,985,0,0,0
1551213692.8180552,985,0,0,0
1551213692.833499,985,0,0,0
1551213692.8499873,985,0,0,0
1551213692.8655767,985,0,0,0
1551213692.882203,985,0,0,0
1551213697.2338805,985,1,1,0
1551213697.2507703,983,1,1,0
1551213697.268707,983,0,0,0
