time,type,value
10.502995252609253,4,1
11.524787902832031,4,2
11.780213117599487,4,1
12.801874876022339,4,2
13.057380199432373,4,1
13.591949701309204,2,1
16.40899968147278,4,1
16.65831232070923,2,1
23.026775360107422,4,1
24.048552751541138,4,2
24.304039239883423,4,1
25.325685739517212,4,2
25.581140995025635,4,1
26.17306661605835,2,1
29.900861978530884,4,1
30.922828674316406,4,2
31.178380727767944,4,1
31.41474461555481,2,1
31.42394709587097,2,1
35.49789071083069,4,1
36.5208535194397,4,2
36.776734590530396,4,1
37.798222064971924,4,2
38.053632497787476,4,1
39.07510280609131,4,2
39.08362126350403,2,1
39.36465501785278,3,circ
